学名,和名,Pdfリンク,開長(mm),分布,食草,メモ
Taenaris_captos,シロメダマワモン,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-am_1 1.pdf,106,PapuaNewGuinea,イネ科のアリサンチゴザサ,ﾒﾀﾞﾏﾁｮｳ属。主産地はニューギニアでその１種がパラワンからSundalandに及んでい る。林辺を緩やかに飛ぶ。
Zeuxidia_aurelius,ワモンチョウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-am_1 1.pdf,106,Taiwan～SouthEastChina,イネ科のススキ,ﾜﾓﾝﾁｮｳ科を代表とする属。ヒマラヤ東部から中国東南部、ビ ルマ、カンボジア、タイワンにわたり分布する森林性の蝶。
Zeuxidia_aurelius,オオルリフクロウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-am_1 2.pdf,130,Sundaland,ヤシ科のAreca triandra（ムラダチビンロウ）,ﾄｶﾞﾘﾊﾞﾜﾓﾝﾁｮｳ属。インド～Sundalandが主産地。南米のモルフォに類似する点が多い。トラップにかかる点もモルフォに類似。
Zeuxidia_doubledayi,アオヘリフクロウ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-am_1 2.pdf,106,Sundaland,ヤシ科のDaemonorops,ﾄｶﾞﾘﾊﾞﾜﾓﾝﾁｮｳ属。インド～Sundalandが主産地。南米のモルフォに類似する点が多い。トラップにかかる点もモルフォに類似。
Thaulia_aliris ♂,シロオビフクロウ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-am_1 3.pdf,122,Malaya,ヤシ科のCaryota mitis（カブダチクジャクヤシ）,Zeuxidia属と翅形以外のあらゆる点で類似している。本属は翅の先端が尖らず♂♀の差もより少ない。
Thaulia_aliris ♀UN,シロオビフクロウ♀ＵＮ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-am_1 3.pdf,122,Malaya,ヤシ科のCaryota mitis（カブダチクジャクヤシ）,Zeuxidia属と翅形以外のあらゆる点で類似している。本属は翅の先端が尖らず♂♀の差もより少ない。
Euploea_blossomae,カワリマルバネマダラ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 1.pdf,90,Mindanao,,約１５０種を含む大きな属でインド・ｵｰｽﾄﾗﾘｱ区に分布する。青色光沢を帯びる美麗種が多い。捕らえると♂の体後端から毛が飛び出し不快臭を発す る。
Euploes_eunice,カワリマルバネマダラ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 1.pdf,90,Mindanao,,約１５０種を含む大きな属でインド・ｵｰｽﾄﾗﾘｱ区に分布する。青色光沢を帯びる美麗種が多い。捕らえると♂の体後端から毛が飛び出し不快臭を発す る。
Euploea_eleusina,チビムラサキマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 1.pdf,80,Celebes～Java,クワ科のStreblus asper,約１５０種を含む大きな属でインド・ｵｰｽﾄﾗﾘｱ区に分布する。青色光沢を帯びる美麗種が多い。捕らえると♂の体後端から毛が飛び出し不快臭を発す る。
Euploea_mulcibe,ツマムラサキマダラ♂,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 2.pdf,100,SouthernChina～Sundaland,クワ科のガジュマル（Ficus microcarpa),約１５０種を含む大きな属でインド・ｵｰｽﾄﾗﾘｱ区に分布する。青色光沢を帯びる美麗種が多い。捕らえると♂の体後端から毛が飛び出し不快臭を発す る。本種は台湾にも産し、季節で大移動するとも言われている
Euploea_mulcibe,ツマムラサキマダラ♀,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 2.pdf,100,SouthernChina～Sundaland,クワ科のガジュマル（Ficus microcarpa),約１５０種を含む大きな属でインド・ｵｰｽﾄﾗﾘｱ区に分布する。青色光沢を帯びる美麗種が多い。捕らえると♂の体後端から毛が飛び出し不快臭を発す る。本種は台湾にも産し、季節で大移動するとも言われている
Ideopsis_gaura,ヒメオオゴマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 3.pdf,100,Philipine～Sundaland,ガガイモ科植物,インド北部～ニューギニアまで生息。白地に黒一色の清楚さとゆったりとした飛翔の蝶。
Idea_leuconoe,オオゴマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 3.pdf,174,Okinawa～Philipine～Sundaland,キョウチクトウ科のホウライカガミ（Parsonsia laevigata),インド北部～ニューギニアまで生息。白地に黒一色の清楚さとゆったりとした飛翔の蝶。巨大でゆったりと飛びTree Nymphとよばれる。
Ideopsis_vitrea,ビトレアヒメマダラ,http://biokite.com/worldbutterfly/butterfly_pdf/i_o/i_o-da 4.pdf,95,Celebes,,本属はスンダランド～ニューギニアにかけて分布する。本種はセレベ ス～ニューギニアにかけて生息する種で、林間をゆっくりと飛翔する。筆者もセレベス島中部で採集した。
